season,approx_game_date,opponent,points,patterson_score,opponent_score,result,team_note,source_note
2003-04,2003-11-18,Terrebonne,7,59,70,Loss,"Patterson season opener","The Daily Review dated 2003-11-19 and a second archived newspaper box score dated 2003-11-20 confirm the result and scoring line; game date is inferred"
2003-04,2003-12-11,New Iberia,21,65,84,Loss,"Murphy Skinner led Patterson in scoring; Patterson record became 1-7","Archived sports coverage dated 2003-12-15 describes the game as Thursday night; exact game date is inferred"
2003-04,2004-01-27,South Terrebonne,14,71,65,Win,"Overtime victory; tied 59-59 after regulation","The Daily Review dated 2004-01-28 p. 8 and The Courier dated 2004-01-28 p. 13 confirm the result and scoring line; game date is inferred"
2003-04,2004-02-10,Franklin,14,76,56,Win,"Skinner hit two three-pointers during Patterson's decisive third-quarter run","The Daily Review dated 2004-02-11 p. 10 reports the result and scoring line; game date is inferred"
2004-05,2004-11-15,Terrebonne,15-16,77,74,Win,"Overtime season-opening victory","The Courier dated 2004-11-16 p. 15 reports 15 points; The Daily Review dated 2004-11-16 p. 9 reports 16 points; exact total remains unresolved and game date is inferred"
2004-05,2005-01-04,Jeanerette,11,73,70,Win,"Patterson built a 13-point halftime lead and held off a second-half rally","Archived newspaper roundup dated 2005-01-05 reports the result and scoring line; game date is inferred from the article's reference to Tuesday"
2004-05,2005-01-14,Hanson,21,76,60,Win,"Skinner and Chris St. Julien both scored at least 20 points","The Daily Review dated 2005-01-17 p. 9 and a second newspaper district preview dated 2005-01-18 p. 7 confirm the result and scoring line"
2004-05,,Franklin,13,80,79,Win,"Skinner and Raylon May led Patterson with 13 points apiece","The Daily Review dated 2005-02-08 p. 9 reports the result and scoring line; the clipping contains an internal date conflict, so the exact game date remains unverified"
2004-05,2005-02-25,Catholic High-New Iberia,14,83,60,Win,"Class 3A first-round playoff victory","The Daily Iberian dated 2005-02-27 p. 12 reports the result and scoring line; article states the game was played Friday"
2004-05,,Marksville,11,63,73,Loss,"Class 3A quarterfinal; final high school game","Archived newspaper game story dated 2005-03-10 Section II p. 5 reports 11 points; publication name and exact game date are not visible in the recovered screenshots"
